id full_name image appearance
216 "Boa Marigold" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078526-4284811025-latest 6
217 "Boa Sandersonia" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078527-6723587609-latest 6
221 Nojiko https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3038761-8331724951-Nojik.jpg 6
223 "Curly Dadan" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041734-8297965126-31274.png 6
229 Kaya https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080677-2773746916-latest 6
236 Shakuyaku https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080078-7414580306-Scree.jpg 6
244 Mancherie https://comicvine.gamespot.com/a/uploads/square_small/4/47703/4361126-untitled-1.jpg 6
246 "Vinsmoke Ichiji" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079951-8082789736-latest 6
247 "Charlotte Chiffon" https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5353070-chiffon.jpg 6
248 "Charlotte Galette" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079417-8047658964-unkno.png 6
250 Yamato https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518649-4842108459-latest.jpg 6
254 Belle-mère https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3038741-0906480079-Bell-.png 5
258 Absalom https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079932-3086387670-0449-.jpg 5
262 Shirahoshi https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3040702-538314-onepiece_v_66t.png 5
264 "King Neptune" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3040770-3940014505-46410.jpg 5
267 Fukaboshi https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078410-9683133860-latest 5
274 Koshiro https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080076-6133372246-unkno.png 5
303 "Ikaros Much" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079231-6100646501-Scree.jpg 5
330 "Napoleon The Bicorn Hat" https://comicvine.gamespot.com/a/uploads/square_small/4/41116/5688490-hat.jpg 5
331 "Zeus The Stormcloud" https://comicvine.gamespot.com/a/uploads/square_small/4/41116/5688485-cloud.jpg 5
332 "Prometheus The Sun" https://comicvine.gamespot.com/a/uploads/square_small/4/41116/5688492-sun.jpg 5
333 "Charlotte Katakuri" https://comicvine.gamespot.com/a/uploads/square_small/4/41116/5772168-dog.jpg 5
334 "Charlotte Daifuku" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080246-6393177305-latest 5
335 Toko https://comicvine.gamespot.com/a/uploads/square_small/6/67663/6825657-7733441022-latest 5
