full_name,image
Twice,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/12/Twice_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180812201355
Inko Midoriya,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/6d/Inko_Midoriya_Present_Anime.png/revision/latest/scale-to-width-down/135?cb=20201122173710
Gran Torino,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/77/Gran_Torino_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503181559
Eizo Tanuma,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/9c/Tanuma_Portrait.png/revision/latest/scale-to-width-down/135?cb=20170220212339
Slidin' Go,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/05/Slidin%27_Go_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220710150108
Mitsuki Bakugo,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b7/Mitsuki_Bakugo.png/revision/latest/scale-to-width-down/135?cb=20180625014446
Geten,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/86/Geten_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210703094301
Nagamasa Mora,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/28/Nagamasa_Mora_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200511212859
Himiko Toga,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/51/Himiko_Toga_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503184820
Pixie-Bob,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/c4/Pixie_Bob_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503195940
Reiko Yanagi,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/41/Reiko_Yanagi_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125071031
Giant Villain,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/0f/Giant_villain_anime.png/revision/latest/scale-to-width-down/135?cb=20170701231250
Octo-Lover's Brigade,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b6/Octo-Lover%27s_Brigade.png/revision/latest/scale-to-width-down/176?cb=20191015090903
